obj1_bin_0,obj1_nom_0,obj1_nom_1,obj1_ord_0,obj1_ord_1,obj1_ord_2,obj1_qnt_0,obj1_qnt_1,obj1_qnt_2,obj1_qnt_3,obj2_bin_0,obj2_nom_0,obj2_nom_1,obj2_ord_0,obj2_ord_1,obj2_ord_2,obj2_qnt_0,obj2_qnt_1,obj2_qnt_2,obj2_qnt_3,Collision
1,hexagon,star,high,low,medium,85.96,54.55,79.07,58.07,0,circle,star,medium,high,medium,97.97,86.71,17.95,71.78,Да
1,hexagon,star,low,high,medium,69.45,19.88,88.95,40.45,1,circle,triangle,medium,high,medium,17.03,28.14,55.38,88.52,Да
0,star,star,medium,high,low,77.99,12.97,25.48,93.56,1,star,circle,low,high,medium,8.62,60.94,14.5,90.89,Нет
0,triangle,star,medium,high,high,68.88,7.01,7.7,29.57,0,star,triangle,low,low,high,78.55,56.98,26.82,49.21,Да
1,square,square,medium,low,medium,69.7,32.64,63.07,32.09,1,triangle,square,low,high,medium,61.54,19.92,53.05,35.53,Да
1,triangle,triangle,low,low,high,34.05,68.88,26.48,87.55,1,triangle,square,low,medium,high,53.48,3.0,27.48,90.02,Нет
0,star,star,high,medium,medium,96.59,91.39,2.34,62.63,1,square,star,low,high,low,44.79,85.69,58.85,26.14,Да
0,square,square,low,low,medium,63.88,32.04,13.12,95.09,0,hexagon,star,high,low,low,70.18,49.77,1.42,79.68,Да
0,triangle,hexagon,low,medium,high,58.71,53.1,93.84,64.5,1,circle,triangle,low,medium,medium,69.84,41.45,97.32,90.87,Да
0,hexagon,hexagon,low,medium,medium,84.72,46.88,87.51,3.3,1,circle,square,low,low,medium,42.44,76.29,73.0,73.97,Да
1,hexagon,square,medium,low,medium,42.1,10.88,82.96,17.68,1,triangle,square,high,low,medium,23.42,3.32,50.38,67.99,Да
1,star,square,low,low,high,9.63,76.03,33.95,28.18,0,hexagon,star,medium,medium,medium,84.13,76.52,92.08,5.07,Да
0,hexagon,square,low,high,high,24.01,51.94,71.45,86.73,0,triangle,hexagon,low,high,low,16.46,40.89,86.98,20.35,Да
1,triangle,hexagon,low,high,high,80.81,91.73,95.7,83.09,1,square,triangle,high,low,high,53.4,55.16,36.66,66.66,Да
1,star,star,high,low,high,73.18,83.54,56.76,79.03,1,square,triangle,high,low,medium,69.27,75.24,11.61,78.52,Да
0,circle,triangle,low,medium,medium,11.72,27.83,33.31,55.35,0,square,circle,high,medium,low,63.89,54.68,25.22,6.34,Да
1,star,star,low,low,low,6.97,31.26,79.93,13.9,0,triangle,star,high,high,high,61.88,6.18,20.87,1.91,Да
1,hexagon,circle,medium,high,high,62.19,53.7,43.03,13.12,1,hexagon,circle,medium,medium,medium,66.25,72.86,75.01,31.15,Да
1,square,square,low,medium,high,93.86,12.51,57.73,12.61,0,star,hexagon,medium,medium,low,87.57,78.63,54.81,64.5,Да
0,star,star,low,high,medium,17.49,25.11,54.12,85.46,1,circle,circle,medium,low,medium,36.54,46.19,85.01,51.2,Да
0,triangle,triangle,medium,low,low,54.9,82.11,21.74,14.16,0,star,hexagon,low,high,medium,62.74,43.91,48.97,0.84,Да
1,star,star,low,low,low,81.2,15.3,0.07,80.85,0,hexagon,circle,high,low,low,69.7,25.19,76.98,15.16,Да
0,hexagon,circle,low,low,high,52.87,54.62,99.88,84.47,1,triangle,star,low,high,medium,59.03,64.42,32.34,75.22,Да
0,star,circle,high,high,high,35.11,39.4,41.68,10.5,0,triangle,hexagon,high,medium,medium,90.3,88.2,60.22,29.77,Нет
1,triangle,star,high,low,low,79.06,20.09,28.38,90.2,0,triangle,triangle,high,high,low,65.48,65.6,63.94,11.72,Да
0,triangle,triangle,low,low,low,77.12,96.98,76.59,89.75,0,square,star,medium,low,medium,42.44,77.13,75.93,5.09,Да
0,hexagon,star,high,low,high,83.05,82.51,59.25,63.82,0,square,star,medium,high,high,84.56,83.75,79.95,85.04,Да
1,triangle,square,low,high,low,94.51,26.67,88.05,51.3,0,square,square,low,high,medium,48.96,22.61,27.65,47.17,Да
1,hexagon,triangle,high,high,medium,15.06,78.53,78.11,64.73,0,star,triangle,high,low,low,53.02,40.21,38.51,50.37,Да
0,star,hexagon,low,low,low,34.08,0.64,28.18,40.48,0,circle,circle,high,low,medium,58.23,43.6,20.71,6.13,Да
0,star,triangle,high,high,low,98.6,27.76,59.22,58.87,0,triangle,star,low,low,medium,32.28,55.89,74.78,48.86,Нет
1,circle,star,low,medium,low,59.45,10.8,50.27,96.95,1,triangle,circle,medium,medium,medium,72.25,4.92,27.07,64.58,Да
1,hexagon,star,medium,medium,low,67.01,42.41,95.51,11.33,0,star,star,high,low,high,9.81,58.84,39.1,12.28,Да
1,square,hexagon,medium,medium,medium,88.41,63.79,23.96,23.38,0,circle,triangle,high,medium,medium,86.88,8.85,80.3,90.25,Да
0,hexagon,circle,low,medium,medium,69.1,17.13,28.38,52.41,1,circle,star,high,high,low,75.45,80.66,33.98,78.33,Да
0,star,star,high,low,low,68.32,23.91,92.04,25.86,1,star,circle,medium,high,low,35.36,96.3,29.15,80.19,Нет
1,star,circle,medium,medium,low,10.45,39.27,45.78,99.28,1,triangle,circle,medium,low,low,22.64,28.98,65.12,53.65,Да
1,triangle,circle,high,low,low,50.68,63.08,45.73,72.03,0,hexagon,triangle,low,medium,low,38.79,50.66,97.54,33.39,Да
0,circle,square,high,low,medium,67.32,31.07,86.82,43.4,0,hexagon,circle,medium,medium,medium,80.51,82.32,6.26,64.05,Да
0,square,circle,medium,high,high,80.73,60.15,29.61,90.27,0,circle,hexagon,medium,medium,high,3.16,31.47,83.48,22.54,Нет
1,circle,triangle,medium,medium,low,41.32,34.93,69.69,14.44,1,circle,star,low,low,low,46.79,15.78,12.16,13.69,Да
0,hexagon,circle,high,low,high,12.35,25.79,72.15,28.79,0,triangle,hexagon,low,low,medium,25.41,73.91,34.49,53.83,Да
0,hexagon,square,low,high,medium,36.58,85.5,44.24,95.59,1,circle,square,high,medium,high,87.5,69.84,41.67,47.86,Да
0,star,star,medium,low,low,42.97,38.3,33.4,55.7,0,star,square,medium,high,high,41.38,56.99,71.87,15.03,Да
1,triangle,star,low,low,medium,75.1,91.84,74.67,92.07,0,hexagon,star,low,high,low,69.79,94.44,92.66,53.04,Да
1,square,hexagon,low,high,low,1.98,30.56,25.59,98.42,1,hexagon,circle,low,low,medium,35.79,95.51,10.2,54.65,Нет
0,triangle,circle,medium,low,high,38.58,54.29,81.93,36.02,0,circle,triangle,high,low,medium,32.97,86.15,74.48,87.15,Да
1,square,triangle,low,high,high,44.79,5.36,41.64,57.65,1,star,square,medium,medium,medium,32.59,29.3,32.23,75.92,Да
1,circle,hexagon,low,medium,low,55.01,68.03,1.84,84.67,1,circle,circle,high,medium,medium,67.82,22.54,90.19,21.76,Да
1,star,hexagon,low,low,low,97.0,79.55,56.93,27.27,0,circle,triangle,medium,medium,low,96.42,83.57,27.82,81.79,Да
0,triangle,square,low,low,high,74.06,97.14,19.44,44.68,1,star,star,low,high,high,20.81,65.14,69.39,96.9,Нет
1,hexagon,star,high,medium,medium,22.24,83.66,46.66,15.33,1,star,circle,high,medium,high,64.39,39.61,16.48,71.66,Да
1,star,circle,low,low,low,63.37,31.25,80.83,65.25,0,square,hexagon,medium,medium,low,26.54,40.98,95.79,78.7,Да
0,square,circle,low,high,medium,34.61,55.66,19.0,0.42,1,hexagon,star,low,low,high,54.94,85.33,0.43,26.64,Да
0,star,star,low,high,low,81.14,59.19,20.81,44.93,1,circle,square,high,low,high,54.16,16.32,23.29,99.19,Да
1,hexagon,square,low,high,low,17.11,5.68,47.38,92.91,0,triangle,star,high,medium,low,45.0,94.4,67.59,17.64,Да
1,hexagon,square,high,low,low,14.45,7.27,47.65,89.73,0,circle,star,low,low,low,49.86,63.32,85.35,75.09,Да
1,square,square,high,medium,high,10.14,32.58,45.37,80.38,1,circle,triangle,medium,medium,high,88.02,79.14,99.36,39.52,Да
0,star,triangle,high,low,high,54.41,74.44,69.45,14.12,0,triangle,square,medium,medium,low,8.86,37.09,17.33,35.69,Да
1,triangle,circle,medium,medium,low,12.33,28.55,26.91,52.03,1,hexagon,triangle,high,medium,medium,83.03,58.69,30.71,28.52,Да
0,star,square,medium,medium,medium,4.18,87.41,26.05,71.91,0,square,star,low,low,medium,46.23,75.0,89.19,44.11,Да
0,hexagon,square,high,low,low,33.25,64.5,2.24,10.12,1,star,circle,medium,medium,high,33.36,43.51,3.25,79.09,Да
0,square,star,medium,medium,medium,79.82,46.81,38.17,14.7,0,square,hexagon,medium,low,low,17.71,48.79,73.33,94.1,Нет
1,circle,hexagon,high,low,low,15.61,54.06,19.58,4.01,0,circle,hexagon,medium,high,medium,81.48,58.21,42.31,41.62,Нет
1,circle,hexagon,low,low,medium,35.79,33.14,59.16,32.31,1,circle,triangle,high,high,low,59.2,6.34,68.88,65.17,Да
1,star,hexagon,high,low,medium,43.57,97.39,18.12,87.73,1,triangle,circle,high,low,high,72.84,86.32,52.49,78.82,Да
0,hexagon,circle,high,low,low,87.6,17.6,89.45,50.75,1,triangle,hexagon,high,high,high,31.5,86.67,62.71,9.97,Да
0,star,triangle,medium,high,low,47.64,86.04,84.9,85.33,1,circle,circle,medium,high,low,39.3,28.14,66.67,96.05,Да
1,square,circle,high,low,low,51.2,67.82,76.52,8.37,1,square,triangle,low,high,low,91.36,87.98,63.12,21.16,Да
1,triangle,star,low,high,high,25.46,71.16,80.85,5.61,0,square,square,low,medium,low,96.12,74.52,66.46,91.51,Нет
0,circle,square,high,low,medium,66.85,83.58,95.96,80.39,1,hexagon,circle,low,high,medium,73.98,48.32,56.83,98.66,Да
1,star,circle,high,medium,low,2.57,13.62,31.98,49.78,1,circle,circle,high,medium,high,74.94,34.78,71.39,10.04,Да
1,hexagon,hexagon,high,high,high,96.44,69.52,97.99,47.09,0,star,square,medium,low,high,69.44,39.94,77.6,89.27,Да
0,circle,triangle,high,low,low,49.81,77.63,89.05,47.56,0,star,star,medium,low,medium,58.72,53.44,78.79,64.09,Да
0,circle,star,medium,low,high,6.18,98.46,36.19,38.11,1,square,star,low,high,medium,59.51,41.25,85.35,81.79,Да
1,triangle,square,medium,medium,high,55.92,74.76,86.41,88.64,1,triangle,star,medium,medium,medium,96.38,42.02,31.64,10.91,Да
0,star,triangle,medium,medium,medium,51.4,95.18,89.73,52.1,1,triangle,triangle,low,low,high,75.09,20.31,74.58,83.43,Да
0,triangle,circle,high,low,low,24.07,84.97,3.61,97.39,1,square,star,high,low,low,65.53,70.78,94.67,62.6,Да
1,hexagon,circle,low,medium,high,20.88,87.57,87.6,84.65,1,hexagon,triangle,low,medium,low,18.91,60.96,36.75,51.06,Да
0,hexagon,triangle,medium,medium,low,27.08,91.69,43.32,73.76,1,circle,square,high,high,high,97.71,99.19,77.76,56.0,Да
1,star,triangle,low,high,medium,12.97,53.12,81.13,63.62,1,star,circle,medium,low,high,52.03,14.12,29.15,74.45,Да
0,circle,square,medium,medium,high,53.14,71.1,11.12,83.52,1,square,hexagon,medium,high,low,94.37,11.37,17.56,29.76,Да
1,square,hexagon,low,medium,low,87.89,12.4,17.22,88.17,0,triangle,hexagon,high,high,medium,71.36,51.59,44.64,94.35,Да
0,triangle,triangle,high,high,medium,92.31,35.64,97.88,13.32,0,circle,triangle,medium,medium,medium,4.01,15.2,80.65,30.76,Нет
0,circle,square,high,low,medium,95.3,87.94,41.62,35.97,1,star,triangle,high,high,high,53.9,61.06,30.71,87.71,Да
0,hexagon,triangle,medium,high,high,60.04,97.77,79.85,80.54,1,hexagon,circle,low,low,high,89.27,19.61,29.49,1.21,Нет
1,hexagon,triangle,low,medium,medium,62.15,11.17,75.02,22.13,0,square,square,high,medium,high,5.18,48.3,27.77,91.65,Да
0,circle,hexagon,high,high,high,31.05,58.61,78.6,58.62,0,circle,circle,low,high,high,86.67,61.13,21.81,85.16,Да
0,circle,square,high,medium,medium,88.53,73.46,76.46,78.05,1,star,triangle,medium,medium,low,61.34,45.8,61.11,12.42,Да
0,hexagon,circle,high,high,low,48.81,51.61,91.4,22.39,1,hexagon,circle,low,medium,low,4.45,32.0,24.33,73.69,Да
0,triangle,square,medium,high,low,27.93,23.3,59.26,40.2,0,triangle,triangle,low,medium,high,37.36,78.23,93.49,37.41,Да
1,triangle,square,low,low,medium,96.57,4.17,42.55,91.51,0,circle,hexagon,medium,high,low,3.02,85.47,34.59,47.98,Да
0,circle,square,medium,medium,low,70.54,95.15,92.52,35.6,1,square,circle,medium,medium,medium,0.17,27.8,54.24,6.86,Да
0,star,hexagon,low,high,medium,46.47,23.68,35.7,60.47,0,star,square,low,high,medium,89.64,81.34,40.92,21.26,Нет
0,hexagon,hexagon,medium,high,medium,6.86,29.91,63.07,43.38,0,triangle,hexagon,high,medium,high,74.86,39.16,96.27,95.36,Нет
0,square,star,high,medium,medium,14.02,64.28,85.52,87.7,0,triangle,square,low,high,medium,28.95,48.76,42.4,41.8,Да
1,hexagon,circle,low,high,medium,19.65,42.86,91.6,42.41,0,star,square,medium,medium,high,11.37,23.17,56.37,2.6,Да
0,triangle,hexagon,medium,low,high,90.28,42.35,94.94,35.92,1,star,triangle,high,high,low,5.44,62.57,76.34,51.51,Да
1,triangle,hexagon,high,medium,low,97.16,8.26,65.99,17.33,1,star,square,low,low,high,91.72,10.09,17.13,99.47,Да
1,square,square,high,low,low,26.7,99.19,72.02,34.92,0,circle,star,medium,low,medium,62.56,59.16,3.26,33.28,Да
1,triangle,square,low,medium,low,49.83,28.44,49.75,66.96,1,square,square,high,medium,high,16.06,98.97,45.49,14.12,Да
0,square,triangle,medium,low,high,79.19,11.0,28.49,17.58,0,triangle,circle,medium,low,low,68.15,75.35,55.06,64.36,Нет
1,triangle,triangle,high,medium,medium,38.46,68.16,1.62,70.54,1,hexagon,triangle,high,high,low,99.89,89.5,28.71,91.98,Да
0,square,triangle,low,high,high,49.24,75.22,22.2,1.06,1,star,triangle,low,low,high,78.8,46.42,46.25,85.91,Да
1,star,hexagon,low,medium,low,88.76,2.54,98.0,36.7,1,square,star,high,high,medium,44.65,14.21,61.52,65.7,Да
0,hexagon,triangle,high,high,medium,20.75,26.92,80.64,46.59,0,hexagon,triangle,high,high,high,81.42,28.85,97.33,18.41,Нет
0,triangle,circle,medium,low,medium,99.39,19.44,47.9,9.61,0,circle,triangle,low,low,high,74.43,4.9,60.18,78.44,Да
0,circle,triangle,low,high,medium,45.63,78.88,34.36,68.41,0,triangle,hexagon,high,low,medium,8.87,50.18,44.89,82.32,Да
1,square,star,high,low,low,25.83,18.38,6.43,10.28,1,square,hexagon,low,high,high,92.57,64.97,2.25,84.95,Нет
0,square,star,high,high,low,89.25,23.52,1.01,9.0,1,square,hexagon,medium,low,low,88.41,42.45,31.06,40.39,Да
1,square,square,high,low,high,7.65,98.68,75.51,36.79,1,triangle,star,medium,low,low,59.06,56.32,35.85,40.89,Да
0,triangle,hexagon,medium,medium,low,64.23,70.21,98.56,73.83,1,triangle,triangle,medium,medium,medium,50.81,32.07,47.69,15.52,Да
0,hexagon,star,medium,medium,medium,6.17,38.77,25.38,96.37,1,star,triangle,low,high,low,22.77,8.59,78.22,77.27,Да
0,circle,circle,low,high,medium,94.62,75.39,27.45,77.6,1,triangle,triangle,low,medium,low,83.45,43.2,77.59,73.72,Да
1,square,square,low,medium,low,63.97,46.65,93.47,46.6,0,square,square,low,high,medium,43.19,54.78,84.53,9.97,Да
1,square,star,high,high,medium,39.8,21.27,60.21,27.26,1,star,triangle,low,low,high,57.93,98.26,29.0,2.01,Да
0,square,triangle,low,low,medium,42.44,48.8,17.38,30.14,1,triangle,triangle,medium,high,high,17.01,34.73,34.65,95.17,Да
0,square,star,high,low,high,16.51,77.2,4.57,28.37,0,hexagon,circle,low,low,medium,21.38,67.78,15.02,1.73,Да
0,circle,star,low,medium,medium,36.0,17.83,56.36,27.83,0,hexagon,circle,medium,medium,medium,98.52,82.26,85.74,62.86,Нет
0,square,square,medium,medium,medium,90.38,48.55,45.26,6.91,1,triangle,triangle,high,high,high,49.4,33.54,65.22,45.36,Да
0,circle,hexagon,medium,high,low,80.54,11.93,43.21,22.04,1,square,square,high,medium,low,81.57,92.99,7.75,77.74,Да
0,circle,triangle,high,high,low,66.15,84.27,96.93,10.79,0,star,square,medium,high,high,82.97,33.88,30.37,8.77,Да
1,square,triangle,low,low,medium,96.78,81.88,26.29,0.74,0,star,star,high,medium,low,98.15,96.98,15.27,68.24,Да
0,star,triangle,low,low,high,57.34,67.35,48.8,28.56,0,star,star,medium,low,low,98.29,0.22,96.92,61.49,Нет
1,circle,triangle,low,high,high,17.63,92.0,21.33,35.22,0,circle,triangle,low,high,medium,45.7,63.42,32.46,85.36,Да
1,star,hexagon,high,medium,medium,71.36,39.99,32.18,92.74,1,triangle,hexagon,medium,medium,low,95.03,78.99,49.65,51.85,Да
0,circle,triangle,low,medium,medium,59.19,13.2,76.59,99.48,0,circle,square,low,low,medium,36.55,28.01,31.79,72.83,Да
0,triangle,hexagon,medium,high,medium,43.65,97.56,19.73,57.94,1,circle,hexagon,high,low,low,60.76,11.71,47.43,43.76,Да
1,square,square,low,high,medium,14.7,51.31,67.65,90.1,1,hexagon,star,medium,high,high,82.17,2.44,99.86,98.4,Да
1,triangle,circle,medium,medium,high,67.77,47.55,12.96,61.82,1,star,square,low,high,low,91.38,7.44,28.74,55.94,Да
1,circle,hexagon,low,medium,high,44.41,6.37,19.06,49.76,0,circle,hexagon,medium,high,high,52.38,54.3,28.26,75.35,Да
0,triangle,triangle,high,medium,high,57.86,57.04,2.31,4.27,1,square,triangle,medium,medium,medium,41.79,83.92,37.14,9.29,Да
0,square,square,high,medium,high,31.54,64.47,63.05,4.46,0,triangle,hexagon,medium,low,medium,72.85,6.31,16.93,46.28,Нет
1,square,square,low,high,medium,15.57,47.32,99.03,3.08,1,square,star,high,low,low,45.59,11.32,73.9,6.44,Да
1,circle,star,low,low,high,35.99,91.04,65.65,15.01,0,star,square,low,high,high,67.18,0.51,37.93,12.17,Нет
0,circle,star,medium,medium,high,85.21,74.24,92.33,7.69,0,hexagon,square,high,low,low,80.42,28.23,58.09,50.61,Да
1,star,circle,high,low,high,15.96,3.86,52.64,19.47,1,square,square,low,low,medium,84.11,92.12,66.13,35.23,Да
0,hexagon,circle,low,low,low,47.12,54.26,68.03,51.92,1,square,triangle,medium,high,high,25.43,27.63,3.54,45.98,Да
0,triangle,star,high,medium,medium,29.76,99.37,92.55,50.32,0,circle,square,high,low,medium,57.15,44.08,64.4,49.61,Нет
1,star,star,high,high,high,96.23,19.97,8.62,34.42,1,square,hexagon,low,low,medium,2.5,17.9,53.28,15.98,Да
0,triangle,square,low,low,medium,8.47,61.72,59.74,66.6,0,hexagon,circle,low,high,low,79.78,11.63,8.29,36.58,Нет
0,square,hexagon,low,low,medium,24.53,27.35,57.55,39.19,1,square,circle,high,medium,low,12.51,18.24,12.45,86.06,Да
1,circle,star,low,high,medium,44.96,37.15,3.32,22.02,0,square,triangle,low,high,low,87.17,21.04,44.08,85.66,Да
0,triangle,triangle,low,medium,low,24.73,3.36,15.62,69.22,1,star,hexagon,low,low,low,40.68,13.03,34.63,49.06,Да
0,hexagon,hexagon,medium,medium,low,70.66,68.79,55.23,98.02,0,hexagon,triangle,medium,high,medium,16.73,79.16,43.75,74.91,Да
1,square,hexagon,low,high,high,37.09,76.57,49.77,81.07,1,square,circle,low,high,medium,79.58,47.72,63.55,75.36,Да
0,square,triangle,medium,high,medium,78.08,77.29,34.38,41.41,0,star,square,low,low,high,20.03,53.98,15.44,4.41,Нет
