obj1_bin_0,obj1_nom_0,obj1_ord_0,obj1_ord_1,obj1_qnt_0,obj1_qnt_1,obj2_bin_0,obj2_nom_0,obj2_ord_0,obj2_ord_1,obj2_qnt_0,obj2_qnt_1,Collision
1,circle,low,high,26.76,97.08,1,square,high,high,42.31,54.38,Да
1,hexagon,high,medium,88.9,12.97,0,square,medium,medium,58.67,89.97,Да
0,circle,low,high,77.22,89.6,1,star,low,low,21.65,78.14,Да
0,hexagon,low,high,92.65,69.12,0,triangle,low,high,38.25,4.38,Нет
0,circle,low,high,6.31,25.9,0,triangle,low,medium,58.39,69.3,Нет
0,square,medium,medium,62.78,90.17,1,triangle,high,low,38.34,50.41,Да
1,star,high,low,14.46,42.93,0,circle,high,low,14.32,47.56,Да
0,circle,low,high,50.39,81.42,1,circle,high,low,49.17,69.16,Да
0,star,medium,low,15.57,38.88,1,triangle,low,low,32.4,19.62,Да
0,circle,medium,low,12.81,85.09,1,star,low,high,86.42,98.15,Да
0,square,low,high,1.22,63.66,0,square,medium,low,77.56,64.53,Нет
1,star,low,low,63.02,14.1,1,hexagon,medium,low,19.03,36.57,Да
0,hexagon,low,medium,35.9,64.97,0,square,medium,low,15.26,60.02,Да
1,circle,low,medium,10.52,19.13,1,square,medium,low,34.77,21.65,Да
1,circle,low,low,32.28,41.19,1,hexagon,low,low,41.22,63.38,Да
0,hexagon,high,low,16.89,17.03,0,triangle,high,medium,93.2,2.82,Нет
0,square,low,medium,94.17,2.2,0,square,high,high,30.16,34.12,Нет
0,triangle,low,low,32.0,21.19,1,hexagon,high,medium,86.76,74.75,Да
0,circle,high,low,33.4,53.64,0,star,high,high,50.53,80.8,Да
0,hexagon,medium,low,83.99,48.16,1,star,medium,low,88.56,25.29,Да
1,triangle,high,low,64.78,50.15,0,star,low,high,70.2,53.94,Да
1,circle,medium,high,71.02,24.77,0,triangle,high,low,70.84,52.85,Да
1,star,medium,low,63.6,68.52,1,square,low,low,51.88,42.15,Да
1,hexagon,high,medium,94.62,70.43,0,square,medium,medium,84.03,22.84,Да
1,star,low,high,20.7,35.8,1,circle,medium,medium,25.44,70.32,Да
0,square,medium,high,98.9,88.12,1,star,high,medium,90.74,25.24,Да
0,triangle,low,medium,83.1,64.4,0,triangle,high,high,63.68,91.1,Да
1,hexagon,high,low,58.9,71.3,1,hexagon,medium,high,43.87,52.85,Да
0,circle,medium,high,66.24,27.73,0,triangle,medium,medium,98.22,87.05,Нет
0,circle,low,high,64.88,0.06,0,square,low,medium,86.2,29.07,Да
1,triangle,medium,low,5.84,86.54,1,star,medium,low,77.2,80.71,Да
1,star,medium,low,21.8,82.24,0,circle,low,high,27.39,11.37,Да
1,star,high,medium,96.15,12.32,1,triangle,medium,low,97.37,76.68,Да
0,hexagon,low,high,53.44,37.41,1,circle,low,high,74.3,38.69,Да
1,hexagon,low,low,37.84,66.13,0,square,medium,medium,60.52,47.0,Да
1,star,medium,low,76.2,65.21,0,hexagon,medium,high,92.18,16.68,Да
0,hexagon,low,medium,52.45,86.04,1,triangle,low,high,16.22,1.86,Нет
0,star,medium,high,1.32,14.03,1,square,low,low,13.9,66.62,Да
1,triangle,high,low,73.62,42.99,1,star,high,medium,56.37,58.77,Да
0,hexagon,high,medium,73.22,9.72,0,triangle,high,medium,5.67,62.24,Нет
1,star,low,high,16.51,38.96,0,circle,medium,medium,66.4,25.5,Да
0,hexagon,high,high,95.67,1.51,1,triangle,medium,low,24.07,23.93,Да
1,circle,high,high,22.39,89.83,0,square,low,low,11.9,83.03,Да
0,circle,low,high,45.77,52.7,1,square,medium,low,40.95,76.13,Да
0,square,medium,medium,11.47,84.98,0,circle,high,high,46.59,33.68,Нет
0,star,high,low,60.33,5.99,1,square,low,high,17.05,63.78,Да
1,square,low,high,37.55,22.75,1,triangle,medium,low,4.15,82.82,Да
1,star,low,high,35.32,25.94,1,circle,low,low,41.41,88.88,Нет
1,hexagon,low,low,82.7,38.67,1,square,high,medium,75.95,0.58,Да
0,star,high,high,0.96,80.29,1,square,high,high,87.42,81.35,Да
0,circle,high,high,79.79,38.66,1,triangle,high,high,9.75,35.04,Да
0,hexagon,medium,low,57.14,20.47,0,square,medium,medium,52.47,71.84,Да
1,circle,medium,low,98.61,6.5,1,triangle,medium,medium,26.34,37.14,Да
0,hexagon,medium,high,58.94,7.95,1,star,medium,medium,37.46,60.62,Да
1,star,medium,low,5.54,76.0,1,triangle,medium,low,93.34,64.68,Да
1,star,medium,medium,5.06,44.48,1,hexagon,medium,low,35.21,40.5,Да
1,circle,medium,medium,88.32,72.62,1,square,medium,low,36.53,51.28,Да
1,triangle,low,high,84.12,68.23,0,star,high,low,20.94,72.63,Да
1,star,medium,high,34.59,13.54,1,circle,high,low,96.0,47.63,Да
0,triangle,high,low,61.8,14.29,1,hexagon,medium,high,45.65,1.4,Да
0,hexagon,medium,low,48.96,75.53,1,circle,high,high,57.04,1.29,Да
0,triangle,high,high,96.72,72.13,1,hexagon,low,high,45.32,66.13,Да
0,circle,medium,high,95.0,37.8,0,star,medium,medium,25.29,84.72,Нет
0,square,low,medium,98.38,7.74,0,star,low,high,81.04,78.53,Нет
0,square,low,low,86.64,1.21,1,star,medium,medium,2.85,31.04,Да
1,circle,high,high,90.96,28.82,1,hexagon,medium,high,69.02,47.11,Да
0,square,medium,high,21.73,0.92,0,triangle,high,low,59.43,23.42,Да
1,circle,low,low,83.1,23.01,1,circle,low,high,14.43,98.91,Нет
1,star,low,low,70.89,41.95,0,triangle,high,low,16.59,26.05,Да
1,triangle,medium,high,96.28,12.14,1,triangle,medium,low,65.92,41.63,Да
1,square,high,high,57.13,10.43,0,square,low,high,31.21,68.11,Нет
1,star,high,high,8.52,89.64,0,circle,medium,high,26.57,87.6,Да
0,square,high,low,59.74,58.55,1,hexagon,high,low,5.92,5.15,Да
0,hexagon,low,high,68.66,93.45,1,square,medium,medium,76.65,30.1,Да
0,circle,medium,high,22.03,34.58,1,square,medium,medium,88.27,56.9,Да
1,circle,low,high,39.41,67.71,1,star,high,high,81.98,61.83,Да
0,star,low,medium,59.85,20.47,0,hexagon,medium,low,46.6,7.0,Да
0,hexagon,low,medium,37.41,61.83,0,triangle,low,medium,53.4,66.41,Да
1,triangle,low,low,37.49,12.96,1,triangle,high,high,24.23,52.81,Да
1,hexagon,medium,high,13.31,0.21,0,triangle,medium,high,17.29,82.76,Да
0,hexagon,low,high,94.07,93.15,1,star,high,low,82.3,22.22,Да
1,triangle,low,low,75.05,55.49,1,triangle,medium,medium,79.83,19.5,Да
1,triangle,high,low,0.12,92.69,1,circle,high,high,77.74,79.33,Да
1,hexagon,low,low,76.56,33.38,0,triangle,high,medium,46.34,70.39,Да
0,square,medium,high,73.98,32.78,1,triangle,low,high,86.45,79.17,Да
1,square,low,medium,0.97,40.07,0,circle,high,high,92.62,78.19,Да
1,hexagon,medium,low,36.96,70.6,1,star,low,medium,32.83,10.4,Да
1,square,medium,high,60.67,56.58,0,square,high,medium,22.47,27.86,Да
1,triangle,medium,low,45.28,92.54,0,hexagon,high,low,46.43,26.01,Да
1,triangle,high,high,77.8,2.54,0,star,medium,low,17.93,93.46,Да
0,square,high,low,42.55,70.82,0,triangle,medium,low,88.4,48.75,Да
0,triangle,low,high,15.39,33.03,1,square,medium,low,33.8,11.11,Да
1,circle,low,low,97.64,18.02,0,hexagon,high,medium,57.62,28.96,Да
1,triangle,low,medium,24.2,51.04,0,hexagon,high,low,59.47,87.19,Да
0,hexagon,medium,low,71.77,50.51,1,hexagon,low,medium,51.5,84.71,Да
0,star,medium,low,14.32,13.7,0,circle,low,high,15.65,90.03,Нет
1,square,medium,medium,32.9,20.19,1,circle,low,medium,99.1,38.85,Да
1,square,low,low,44.2,40.82,0,square,medium,low,17.26,64.13,Да
0,triangle,low,medium,19.22,40.88,1,triangle,medium,medium,75.15,27.82,Да
1,triangle,low,high,45.0,31.76,0,square,low,medium,79.14,18.08,Да
1,star,low,medium,15.72,14.85,0,triangle,high,medium,14.52,2.19,Да
0,star,high,medium,55.9,0.44,0,star,medium,medium,93.32,22.34,Да
0,hexagon,high,high,66.37,97.02,0,hexagon,medium,medium,48.78,60.44,Да
0,circle,high,medium,6.24,94.35,1,hexagon,low,low,62.89,90.42,Да
0,hexagon,low,medium,87.11,48.37,0,circle,medium,medium,64.22,13.34,Да
1,square,high,high,18.51,99.51,1,star,low,low,50.5,91.8,Да
1,triangle,high,low,22.54,67.37,1,star,medium,high,14.2,34.54,Да
1,hexagon,low,low,66.13,6.89,1,triangle,high,medium,75.18,42.68,Да
1,triangle,high,medium,46.88,11.77,1,star,high,high,58.18,36.5,Да
0,triangle,low,low,49.94,91.61,0,circle,medium,low,11.87,40.86,Нет
0,hexagon,low,low,12.82,63.01,0,triangle,low,medium,70.03,25.92,Нет
1,hexagon,low,medium,80.57,84.32,0,square,medium,high,70.28,69.86,Да
1,star,medium,high,61.71,89.83,0,triangle,low,low,54.85,75.82,Да
1,circle,low,low,13.54,44.79,0,square,medium,high,9.05,82.31,Да
0,star,high,medium,37.4,4.85,0,triangle,high,medium,35.26,34.13,Да
0,circle,high,high,81.04,18.83,1,hexagon,high,medium,5.09,76.46,Да
0,hexagon,low,low,56.84,6.66,1,square,medium,medium,47.76,63.77,Да
1,circle,medium,high,10.86,18.87,0,circle,medium,low,90.64,95.79,Нет
1,square,medium,medium,37.28,41.05,0,square,medium,high,0.23,42.48,Да
1,star,medium,high,24.27,11.82,0,square,high,low,26.66,99.23,Да
0,star,high,high,51.75,16.67,1,triangle,high,high,79.99,74.04,Да
1,star,medium,medium,84.34,44.58,0,hexagon,low,low,0.99,77.63,Да
0,triangle,medium,low,43.63,34.02,0,triangle,medium,medium,1.02,2.57,Да
1,triangle,low,low,43.33,46.77,0,triangle,medium,high,61.08,49.74,Да
1,hexagon,medium,high,90.54,42.92,1,hexagon,high,high,78.92,52.83,Да
0,hexagon,medium,high,57.62,64.45,1,triangle,medium,high,77.65,4.06,Да
0,triangle,medium,high,56.62,93.72,0,hexagon,low,low,77.96,31.21,Нет
1,star,low,high,26.19,10.79,1,circle,medium,medium,36.1,95.56,Да
0,triangle,low,low,60.77,9.93,1,hexagon,high,high,88.27,42.61,Да
0,circle,medium,medium,57.59,85.28,1,star,medium,low,1.28,18.67,Да
0,star,high,medium,39.69,50.64,0,hexagon,high,high,31.22,51.33,Да
0,triangle,high,medium,99.07,76.64,0,hexagon,low,medium,33.72,3.38,Нет
0,hexagon,low,high,88.19,21.54,1,star,low,high,16.56,51.6,Нет
1,triangle,medium,high,74.96,82.89,1,hexagon,medium,medium,33.62,59.43,Да
1,square,high,medium,53.73,92.38,1,square,medium,low,58.59,35.77,Да
1,triangle,medium,low,46.21,63.55,0,triangle,high,low,52.03,76.26,Да
1,star,low,medium,18.49,10.59,1,triangle,low,medium,31.94,13.57,Да
0,triangle,high,low,30.57,89.53,1,circle,low,medium,74.93,87.82,Да
1,hexagon,low,high,77.4,79.25,0,circle,low,low,71.48,95.54,Да
0,circle,medium,medium,45.37,75.09,1,star,low,medium,28.07,0.12,Да
1,square,low,medium,88.23,3.67,1,square,medium,medium,32.32,84.27,Нет
1,star,low,high,14.79,79.9,0,circle,medium,high,28.75,50.61,Да
0,hexagon,low,low,50.83,13.8,1,triangle,high,low,12.89,46.14,Да
1,square,low,medium,64.7,22.24,1,circle,low,low,75.28,23.87,Да
1,triangle,high,medium,51.68,57.71,1,circle,medium,medium,4.63,44.73,Да
1,square,medium,low,88.92,26.5,1,hexagon,medium,medium,15.06,95.04,Да
1,circle,high,medium,98.96,66.13,0,circle,low,medium,10.53,21.08,Нет
1,square,medium,medium,11.58,60.81,0,star,medium,low,82.53,17.9,Да
1,square,medium,high,13.0,10.81,0,triangle,high,high,4.4,24.19,Да
1,triangle,medium,low,13.03,65.6,1,star,high,low,66.46,55.18,Да
0,triangle,medium,medium,68.12,92.4,0,star,low,high,4.45,93.03,Нет
1,star,medium,medium,37.27,16.11,0,square,high,medium,78.64,57.39,Да
1,triangle,high,high,73.33,59.71,1,hexagon,medium,low,91.27,24.35,Да
1,square,medium,medium,40.55,34.19,0,star,high,high,48.68,44.05,Да
1,circle,low,high,62.76,45.96,1,square,medium,low,80.45,39.04,Да
1,triangle,high,medium,76.99,28.7,1,triangle,low,high,70.64,4.66,Да
1,star,high,high,54.82,35.41,1,triangle,low,high,79.56,51.06,Да
0,star,medium,low,53.95,2.89,0,square,medium,low,76.68,12.6,Да
1,square,low,low,8.82,98.16,0,star,medium,medium,20.54,84.22,Да
1,triangle,low,medium,41.08,62.48,1,star,high,low,49.96,54.9,Да
0,triangle,medium,medium,54.58,50.07,0,hexagon,medium,medium,96.04,84.46,Да
0,star,medium,high,46.2,38.37,1,hexagon,low,high,34.35,95.6,Да
1,triangle,low,high,90.08,53.94,0,triangle,medium,high,97.05,94.32,Да
1,square,high,low,90.65,38.01,0,hexagon,high,low,58.32,10.04,Да
1,circle,high,medium,82.19,35.99,0,square,high,low,46.16,94.48,Да
0,square,medium,high,37.53,46.39,0,triangle,medium,medium,65.78,79.57,Да
0,triangle,high,low,71.73,27.6,0,star,high,medium,81.58,77.77,Да
1,square,high,low,39.53,18.0,1,triangle,high,low,39.42,9.01,Да
1,hexagon,low,high,23.26,55.66,0,circle,low,medium,3.3,17.95,Да
0,hexagon,high,medium,34.29,84.28,0,triangle,medium,medium,70.88,97.52,Да
0,triangle,low,low,7.1,15.28,0,hexagon,low,low,95.62,21.34,Нет
0,triangle,medium,high,33.18,3.27,0,square,low,low,62.5,16.91,Да
0,circle,medium,low,46.07,24.68,0,star,high,high,18.84,36.24,Да
1,square,low,medium,95.55,97.97,1,star,low,high,24.82,91.34,Нет
0,circle,low,high,31.34,82.88,1,hexagon,medium,low,90.98,47.62,Да
0,triangle,medium,medium,90.25,59.59,1,hexagon,medium,high,1.36,92.06,Да
1,triangle,low,medium,22.89,92.92,0,hexagon,medium,medium,54.87,33.43,Да
0,star,medium,low,19.1,44.53,0,circle,low,low,15.87,22.65,Да
1,circle,medium,medium,51.9,98.33,1,square,medium,high,28.28,49.52,Да
0,triangle,medium,low,67.25,29.63,1,circle,medium,low,30.7,61.55,Да
1,hexagon,medium,high,4.43,24.03,1,hexagon,low,high,21.93,39.15,Да
0,star,medium,high,22.11,63.8,1,square,low,low,79.24,34.6,Да
1,square,medium,low,45.57,37.82,0,hexagon,low,medium,33.22,21.81,Да
1,star,high,low,33.1,62.64,1,square,low,high,34.55,27.5,Да
0,square,high,low,71.26,30.5,0,star,high,low,45.3,67.31,Да
1,hexagon,medium,medium,51.12,61.79,1,circle,low,medium,90.23,36.99,Да
1,square,high,high,16.04,27.57,0,hexagon,low,high,68.82,7.98,Да
0,circle,low,high,89.45,5.1,0,hexagon,medium,high,6.17,13.82,Нет
1,square,low,medium,29.29,91.21,0,triangle,medium,low,3.93,37.24,Да
1,square,medium,low,73.11,88.32,1,star,low,medium,56.64,92.45,Да
0,star,high,high,77.99,97.08,0,hexagon,low,low,88.71,37.9,Нет
0,hexagon,low,medium,96.32,71.65,0,circle,low,high,32.33,6.06,Нет
1,square,low,low,49.85,68.27,1,star,medium,low,24.78,41.8,Да
1,circle,low,high,61.58,55.9,1,hexagon,medium,low,74.82,66.88,Да
1,star,low,low,33.49,12.59,1,circle,low,medium,60.21,59.36,Да
1,hexagon,high,medium,67.82,18.92,1,triangle,medium,medium,56.5,27.88,Да
1,hexagon,low,high,46.34,28.95,1,triangle,medium,high,14.93,68.81,Да
0,triangle,low,low,43.77,89.02,1,circle,low,medium,17.6,63.06,Да
1,circle,low,low,85.55,17.3,0,star,medium,low,28.18,17.22,Да
0,star,medium,low,5.02,92.29,0,circle,low,high,20.68,16.21,Нет
0,star,low,medium,88.2,52.28,1,circle,high,medium,97.14,54.72,Да
0,circle,low,low,85.21,71.56,1,triangle,high,low,1.86,65.94,Да
0,hexagon,high,high,50.64,11.02,0,triangle,high,low,62.61,96.19,Нет
1,square,low,high,49.02,26.9,0,triangle,medium,high,51.76,42.19,Да
1,circle,low,low,36.18,95.85,0,hexagon,high,high,32.33,76.49,Да
1,star,low,medium,99.42,26.61,1,hexagon,medium,medium,88.76,11.65,Да
0,circle,medium,high,11.12,29.65,0,square,low,medium,67.02,88.96,Нет
0,hexagon,high,high,59.02,19.76,0,hexagon,high,medium,99.84,63.31,Да
1,triangle,high,high,68.17,12.91,1,star,medium,medium,16.87,62.9,Да
0,triangle,medium,low,93.43,23.33,1,star,high,high,8.79,14.24,Да
1,square,medium,high,78.02,64.23,1,triangle,medium,low,13.94,3.96,Да
0,square,high,low,64.38,45.54,0,circle,medium,low,26.93,70.14,Да
0,hexagon,low,low,11.68,55.38,1,triangle,low,medium,41.68,11.71,Да
0,square,high,low,37.37,12.24,0,circle,medium,high,86.26,12.7,Да
0,triangle,medium,low,13.88,80.21,0,triangle,medium,medium,28.36,18.75,Нет
0,hexagon,low,low,88.12,78.41,1,triangle,high,medium,91.52,9.77,Да
0,hexagon,high,high,74.96,2.16,0,star,low,high,46.29,62.54,Нет
0,hexagon,low,low,75.75,38.35,1,circle,medium,low,64.71,42.2,Да
1,circle,low,low,65.23,6.88,1,square,high,low,26.44,26.61,Да
1,square,medium,low,50.7,79.21,1,square,low,medium,15.6,44.07,Да
0,star,high,low,15.0,73.73,1,triangle,medium,high,86.95,84.41,Да
0,triangle,medium,low,32.97,90.2,0,triangle,high,low,10.95,92.71,Да
1,square,high,low,13.69,23.64,1,star,low,low,77.4,48.75,Да
0,triangle,high,high,72.49,45.63,0,circle,low,high,58.1,56.68,Да
1,square,low,low,16.02,18.45,0,triangle,low,high,86.11,25.72,Нет
1,star,low,low,70.21,37.12,1,square,low,low,71.78,51.36,Да
1,triangle,low,high,69.23,52.22,0,circle,medium,medium,28.17,74.81,Да
1,star,medium,high,45.93,5.33,1,triangle,medium,medium,57.44,49.21,Да
1,triangle,low,medium,13.52,71.49,1,circle,low,low,1.31,30.21,Да
0,circle,medium,high,31.48,54.33,1,star,low,medium,47.52,58.2,Да
0,circle,low,high,32.01,82.9,0,square,medium,medium,8.6,94.67,Да
1,triangle,medium,low,70.04,27.18,1,circle,high,high,42.89,88.8,Да
0,triangle,high,medium,11.37,90.33,1,square,low,high,10.96,76.92,Да
1,star,medium,low,82.91,99.87,0,triangle,medium,high,95.55,27.62,Да
0,hexagon,medium,medium,76.1,91.93,1,hexagon,medium,medium,52.31,24.16,Нет
0,triangle,medium,low,18.63,77.79,1,circle,high,high,91.32,83.85,Да
0,square,high,high,71.92,81.24,1,square,medium,high,2.24,18.13,Нет
0,square,medium,high,66.85,57.37,1,circle,low,low,63.77,60.56,Да
