obj1_bin_0,obj1_nom_0,obj1_nom_1,obj1_ord_0,obj1_ord_1,obj1_ord_2,obj1_qnt_0,obj1_qnt_1,obj1_qnt_2,obj1_qnt_3,obj2_bin_0,obj2_nom_0,obj2_nom_1,obj2_ord_0,obj2_ord_1,obj2_ord_2,obj2_qnt_0,obj2_qnt_1,obj2_qnt_2,obj2_qnt_3,Collision
1,circle,triangle,high,low,medium,14.52,93.57,98.41,96.07,1,star,star,high,high,medium,39.9,23.23,82.1,23.21,Да
0,hexagon,circle,high,medium,low,52.43,59.76,73.63,32.05,0,square,star,high,low,low,97.99,53.48,20.45,0.09,Да
1,triangle,triangle,high,low,high,96.3,80.94,77.43,99.63,0,circle,square,high,medium,high,22.59,19.88,18.62,75.72,Да
1,star,circle,high,high,medium,60.77,80.02,65.62,84.56,0,circle,hexagon,high,low,high,61.22,50.84,12.57,98.52,Да
1,square,star,medium,high,high,98.34,93.21,47.17,61.1,1,circle,circle,medium,high,medium,43.3,15.74,13.84,80.99,Да
1,square,star,high,medium,low,84.11,77.02,57.16,4.01,1,circle,circle,high,high,high,7.1,67.1,74.82,46.02,Да
0,circle,triangle,medium,high,high,3.6,74.77,4.64,90.14,1,circle,star,low,medium,high,48.79,75.39,46.97,90.38,Да
0,triangle,star,high,low,high,65.84,23.41,62.4,55.74,1,hexagon,star,low,medium,high,70.22,11.04,78.29,40.98,Да
1,hexagon,hexagon,medium,medium,low,28.68,5.99,62.61,86.85,1,star,square,low,medium,high,51.32,46.78,74.63,52.49,Да
1,square,square,medium,low,high,55.96,51.76,89.12,83.44,0,hexagon,hexagon,low,medium,medium,87.21,7.09,60.46,47.71,Да
1,circle,square,low,medium,low,27.93,12.44,50.57,83.3,1,square,square,medium,low,high,28.89,59.82,68.64,44.76,Да
0,triangle,circle,high,medium,medium,34.89,96.22,7.71,69.82,1,triangle,hexagon,low,low,high,8.62,26.44,1.84,77.52,Нет
0,triangle,star,low,low,low,92.32,28.99,30.62,29.14,0,star,circle,medium,high,high,93.66,52.76,31.18,52.68,Да
0,circle,circle,low,high,low,20.66,85.29,65.56,33.62,1,square,square,low,medium,low,37.82,51.75,63.78,31.67,Да
0,circle,square,high,high,medium,87.41,38.76,23.93,30.85,0,hexagon,star,medium,medium,medium,57.64,92.44,0.93,25.82,Нет
0,hexagon,square,low,medium,low,3.05,32.32,28.05,2.0,1,triangle,square,medium,low,low,79.2,54.91,3.3,3.77,Да
1,circle,star,high,low,medium,9.09,93.52,82.05,58.26,0,square,square,medium,medium,low,32.43,58.3,85.19,58.32,Да
0,hexagon,hexagon,low,low,medium,85.47,36.33,58.43,69.88,0,triangle,circle,low,high,medium,71.62,40.17,68.4,23.0,Да
0,hexagon,hexagon,high,medium,low,63.06,39.03,50.85,85.39,1,square,star,medium,high,low,13.54,94.91,26.54,14.81,Да
1,star,star,high,high,high,74.72,10.61,31.85,14.02,1,hexagon,star,high,medium,low,29.13,77.72,68.8,65.38,Да
0,triangle,star,high,low,high,20.94,67.04,73.09,54.42,0,triangle,triangle,high,high,low,14.47,28.54,79.25,68.12,Да
0,triangle,circle,medium,high,medium,53.71,28.88,28.77,0.8,0,square,triangle,low,high,medium,81.12,84.42,30.68,75.22,Нет
0,triangle,star,low,high,high,73.72,58.56,73.71,9.51,0,hexagon,triangle,high,low,high,22.26,43.24,3.6,50.36,Да
1,star,hexagon,medium,medium,high,62.73,59.14,7.01,5.42,0,star,circle,high,high,medium,71.74,82.87,93.28,89.41,Да
0,hexagon,star,low,medium,low,47.17,71.92,86.45,72.55,0,hexagon,square,high,medium,medium,94.33,82.29,34.52,93.63,Да
1,hexagon,circle,low,high,medium,95.98,74.52,49.96,8.11,0,hexagon,star,low,medium,medium,52.78,18.89,10.65,80.74,Нет
1,circle,circle,low,low,medium,67.62,51.45,43.85,71.65,0,star,star,low,high,low,54.0,70.11,49.19,63.56,Да
