obj1_bin_0,obj1_nom_0,obj1_nom_1,obj1_nom_2,obj1_ord_0,obj1_ord_1,obj1_ord_2,obj1_qnt_0,obj1_qnt_1,obj1_qnt_2,obj1_qnt_3,obj1_qnt_4,obj2_bin_0,obj2_nom_0,obj2_nom_1,obj2_nom_2,obj2_ord_0,obj2_ord_1,obj2_ord_2,obj2_qnt_0,obj2_qnt_1,obj2_qnt_2,obj2_qnt_3,obj2_qnt_4,Collision
0,square,star,circle,medium,medium,low,68.16,26.33,52.47,86.49,1.26,1,star,hexagon,square,low,medium,high,55.33,88.93,58.96,25.25,58.66,Да
0,star,star,triangle,medium,high,low,79.12,60.82,56.86,7.49,38.95,0,star,square,circle,low,high,high,19.06,16.84,68.87,41.13,9.33,Нет
0,star,circle,circle,high,medium,medium,94.31,89.0,5.5,41.16,59.3,1,star,star,star,medium,medium,high,86.61,4.79,59.53,10.98,96.67,Нет
0,square,hexagon,star,high,high,high,75.35,50.14,49.84,47.64,65.93,1,star,triangle,square,medium,high,low,5.0,48.78,27.85,27.91,10.51,Да
0,triangle,square,star,high,low,high,39.16,27.78,1.97,40.85,9.63,0,hexagon,star,star,low,medium,medium,38.71,35.64,8.26,83.35,87.76,Да
1,square,circle,triangle,low,low,high,49.33,22.15,40.59,34.84,49.73,1,star,circle,star,medium,high,medium,76.15,59.78,73.2,2.21,3.84,Да
1,circle,star,hexagon,high,high,high,4.7,44.92,96.64,61.13,43.04,1,square,circle,hexagon,medium,medium,medium,74.92,64.07,30.91,5.09,53.11,Да
0,square,hexagon,hexagon,medium,high,high,2.87,85.43,76.26,67.63,17.6,1,star,triangle,square,low,low,medium,14.48,93.44,24.71,68.7,85.28,Да
1,circle,hexagon,square,high,high,low,28.15,28.57,73.44,95.85,18.02,1,hexagon,triangle,triangle,high,medium,low,19.67,95.27,69.05,38.61,63.46,Да
1,star,circle,star,high,medium,medium,80.61,55.37,78.49,12.67,97.3,0,triangle,hexagon,circle,medium,low,medium,54.63,49.5,44.19,77.3,49.38,Да
0,star,triangle,square,medium,low,high,31.92,17.31,84.97,90.04,41.35,1,triangle,circle,star,high,medium,medium,68.43,20.87,20.45,93.18,12.74,Да
1,star,triangle,triangle,low,medium,low,11.69,74.31,4.27,79.74,64.03,0,hexagon,circle,square,medium,low,low,75.23,24.73,76.65,26.67,65.92,Да
0,triangle,star,circle,low,low,low,35.61,45.92,87.95,28.27,20.62,1,star,hexagon,square,high,low,medium,62.05,9.97,80.64,3.7,60.23,Да
0,circle,triangle,star,low,medium,medium,30.56,23.86,77.46,20.03,95.65,0,circle,square,star,high,medium,high,78.31,27.99,98.53,45.59,45.87,Да
0,circle,star,hexagon,medium,medium,low,98.93,75.5,68.39,11.65,94.68,1,square,square,circle,medium,high,medium,43.99,91.14,46.8,96.42,23.49,Да
1,circle,triangle,square,medium,high,high,97.14,72.8,40.57,42.37,79.35,0,star,hexagon,star,medium,high,high,56.06,36.46,3.67,54.54,22.01,Да
1,square,circle,circle,low,low,low,73.69,3.36,30.05,55.01,43.62,0,hexagon,circle,circle,medium,high,high,43.32,62.95,51.73,37.74,97.0,Да
0,triangle,hexagon,hexagon,high,medium,high,82.89,44.17,19.19,56.98,41.52,0,star,circle,square,medium,high,low,76.09,98.12,2.33,55.2,96.51,Да
1,star,square,hexagon,medium,high,medium,25.39,59.3,34.16,41.68,88.98,0,hexagon,square,star,high,high,high,17.48,10.67,94.76,16.54,93.7,Да
1,square,hexagon,triangle,low,high,medium,53.77,25.6,87.83,68.54,86.87,1,star,triangle,square,low,high,medium,25.24,77.54,17.48,75.13,51.6,Да
0,triangle,triangle,hexagon,low,high,medium,99.85,5.63,5.65,70.78,92.46,0,circle,triangle,star,medium,medium,low,83.68,69.97,92.54,68.05,98.83,Нет
1,star,hexagon,hexagon,low,high,low,32.32,28.4,72.62,51.5,27.32,1,circle,hexagon,star,medium,low,high,71.44,81.9,95.0,72.41,29.74,Да
1,circle,triangle,hexagon,low,medium,low,98.62,86.71,8.52,55.17,66.22,0,square,triangle,triangle,low,medium,high,73.52,13.72,77.55,30.23,42.69,Нет
1,circle,star,circle,high,medium,low,18.83,33.93,11.68,19.49,67.18,0,square,square,hexagon,medium,low,high,9.91,50.18,8.73,81.35,17.43,Да
0,circle,square,circle,high,low,low,62.01,78.67,19.97,55.39,36.0,1,hexagon,star,star,medium,low,high,48.44,63.2,55.84,89.3,46.41,Да
0,hexagon,star,hexagon,medium,medium,medium,78.19,70.22,67.39,7.53,9.46,0,circle,hexagon,star,medium,medium,medium,56.43,76.01,35.43,95.55,18.5,Да
0,circle,square,triangle,medium,high,medium,59.32,95.86,85.14,57.07,10.44,1,square,circle,square,high,low,medium,77.99,71.26,82.02,63.85,6.62,Да
0,star,star,hexagon,low,low,medium,30.89,87.2,14.18,64.29,84.29,0,hexagon,star,circle,high,medium,low,42.22,57.1,30.22,34.82,1.0,Да
0,square,star,star,high,low,high,81.4,94.16,23.39,98.18,34.17,1,square,square,square,low,medium,low,54.07,46.92,45.13,38.75,37.85,Да
1,square,hexagon,star,medium,medium,high,20.17,2.33,63.47,42.5,89.04,1,circle,circle,hexagon,low,high,high,23.83,94.17,57.37,56.56,89.76,Да
1,hexagon,square,square,high,low,high,43.03,29.73,45.62,49.57,28.63,0,star,triangle,star,low,low,medium,83.21,18.18,3.53,57.55,43.74,Да
0,hexagon,hexagon,star,medium,medium,low,27.97,87.28,63.35,45.22,20.27,1,triangle,hexagon,square,high,high,medium,91.39,20.43,60.89,79.24,64.56,Да
1,star,star,square,low,high,high,49.54,37.27,15.83,25.98,39.29,1,circle,triangle,circle,medium,medium,high,46.42,11.11,34.43,8.49,81.79,Да
0,triangle,hexagon,square,low,high,medium,38.74,5.27,45.96,9.43,72.4,0,square,hexagon,hexagon,high,medium,low,43.72,11.27,52.92,56.66,55.3,Да
1,hexagon,triangle,square,medium,medium,low,17.91,92.86,34.05,64.06,62.02,0,triangle,square,hexagon,medium,low,high,32.83,87.35,12.48,34.86,56.32,Да
0,hexagon,star,square,high,high,low,74.19,45.2,43.67,7.21,15.02,0,circle,square,star,medium,high,low,26.68,60.65,33.58,83.39,52.41,Да
0,star,triangle,hexagon,high,medium,high,17.66,5.18,29.64,43.01,98.11,1,square,circle,hexagon,high,high,medium,55.34,93.51,58.18,35.21,12.51,Да
1,square,star,circle,low,medium,low,54.56,28.38,14.32,1.1,97.84,1,circle,hexagon,circle,medium,low,high,16.88,88.69,57.16,46.78,63.57,Да
0,star,triangle,star,low,high,low,80.46,85.58,66.68,94.05,27.19,0,hexagon,star,square,high,medium,low,58.93,30.05,15.8,22.77,72.32,Да
0,circle,triangle,star,high,high,high,48.33,78.97,66.9,69.74,53.01,0,square,triangle,hexagon,high,medium,low,56.13,64.13,41.47,29.57,0.03,Да
1,triangle,star,star,high,low,medium,88.69,99.72,26.44,22.31,22.76,1,triangle,hexagon,triangle,high,low,low,69.41,37.94,51.95,55.56,8.33,Нет
0,hexagon,triangle,square,low,high,medium,42.88,44.0,57.72,27.62,99.22,1,circle,star,square,low,low,high,22.57,87.62,8.12,42.59,54.17,Да
1,triangle,square,triangle,medium,high,medium,97.07,30.25,96.17,32.22,34.83,0,square,triangle,circle,medium,low,high,70.2,73.43,59.94,20.15,83.89,Да
0,star,triangle,circle,medium,medium,high,2.49,13.31,53.71,51.91,90.2,1,star,square,circle,low,high,medium,1.69,12.35,23.17,47.39,53.31,Да
0,square,star,triangle,high,medium,low,79.11,29.81,31.4,63.18,42.9,0,square,square,star,low,low,low,53.44,25.33,92.02,16.53,43.45,Да
1,triangle,square,triangle,high,high,high,70.79,19.96,30.86,7.66,71.62,0,circle,circle,hexagon,medium,medium,high,84.41,65.76,26.85,88.17,93.68,Да
0,hexagon,square,star,medium,low,low,61.11,66.8,83.12,66.03,90.54,1,star,square,star,high,low,high,72.78,24.61,78.74,92.42,7.63,Да
0,circle,square,triangle,low,medium,medium,29.61,76.62,48.85,7.44,62.12,0,triangle,square,hexagon,low,high,medium,85.08,53.4,58.22,22.64,13.82,Нет
1,triangle,hexagon,hexagon,low,medium,medium,61.07,80.36,26.33,91.39,23.09,1,star,square,square,low,high,low,14.83,24.43,68.53,5.23,68.51,Нет
0,star,square,triangle,low,high,high,59.46,75.22,63.09,49.73,79.76,1,circle,hexagon,star,high,low,high,71.89,68.25,90.18,92.7,10.88,Да
1,star,hexagon,triangle,medium,high,medium,14.94,49.03,86.48,93.37,90.89,0,star,circle,star,high,medium,high,46.91,7.5,84.78,31.2,13.51,Да
1,triangle,circle,star,low,high,high,87.98,39.25,72.75,64.24,8.91,0,circle,hexagon,star,high,low,high,32.32,72.12,12.77,18.8,87.19,Да
1,star,triangle,triangle,medium,high,medium,53.46,10.02,8.63,40.12,37.33,1,star,star,star,medium,high,high,35.58,33.7,93.37,91.93,21.02,Да
1,triangle,hexagon,square,medium,high,medium,8.91,57.86,34.17,78.28,99.26,1,hexagon,square,triangle,medium,medium,medium,10.19,45.35,13.87,88.26,62.24,Да
0,triangle,star,circle,high,low,medium,39.16,45.28,81.27,6.81,65.19,1,triangle,star,triangle,high,high,medium,69.7,48.36,31.64,5.32,39.68,Да
1,square,square,hexagon,medium,medium,high,21.65,24.33,41.83,58.7,17.42,0,triangle,star,star,medium,high,low,63.19,19.44,52.31,20.77,13.67,Да
0,star,star,circle,medium,low,medium,16.86,80.26,99.86,25.77,84.31,0,triangle,hexagon,hexagon,high,high,medium,15.26,94.22,93.33,81.26,38.61,Да
1,square,square,square,high,low,high,94.64,71.11,34.19,84.27,47.11,0,hexagon,square,star,high,low,low,54.42,0.02,62.72,26.72,41.62,Да
1,star,star,triangle,high,high,high,67.48,56.82,90.75,89.06,86.18,0,triangle,hexagon,triangle,medium,high,low,12.97,37.27,87.5,66.84,62.86,Да
1,square,triangle,star,medium,medium,low,30.16,20.05,45.94,58.55,76.35,0,star,triangle,triangle,medium,low,high,31.33,12.85,94.17,4.0,15.35,Да
0,circle,triangle,circle,high,high,medium,67.84,57.0,93.6,26.09,72.21,1,square,triangle,star,high,low,high,4.41,35.99,74.85,84.16,3.74,Да
0,star,circle,triangle,low,low,low,80.3,20.41,42.13,38.9,27.02,0,hexagon,square,star,medium,low,high,62.11,10.39,48.19,42.22,60.6,Да
1,square,star,circle,low,medium,low,31.69,73.23,46.85,62.05,55.84,0,hexagon,star,hexagon,low,high,low,1.24,37.87,38.8,47.01,6.54,Да
1,circle,circle,triangle,medium,medium,high,98.48,17.24,54.08,42.52,85.53,0,circle,hexagon,triangle,low,high,high,26.07,19.39,27.52,80.83,15.39,Нет
1,circle,star,star,high,high,medium,88.15,73.95,3.98,77.71,85.42,1,hexagon,star,star,low,high,high,26.67,55.38,50.66,45.42,98.15,Да
1,circle,triangle,square,high,low,low,79.71,54.08,8.41,36.89,17.06,1,triangle,triangle,circle,high,medium,medium,74.84,1.2,4.8,10.41,2.28,Да
0,square,circle,circle,low,high,medium,71.52,97.66,85.46,50.55,40.11,0,hexagon,hexagon,star,low,medium,medium,45.06,50.61,22.81,50.44,64.23,Да
1,circle,square,hexagon,medium,medium,medium,3.87,46.69,26.52,18.9,45.99,1,hexagon,hexagon,triangle,high,medium,medium,57.32,28.28,35.83,45.68,13.88,Да
1,hexagon,triangle,square,medium,high,high,2.24,23.97,62.73,69.78,48.09,0,star,hexagon,circle,medium,medium,medium,24.91,32.15,85.34,45.0,82.12,Да
1,star,hexagon,star,medium,medium,high,16.48,83.97,26.0,86.52,45.79,0,star,square,circle,medium,medium,low,54.76,35.47,37.61,19.28,58.18,Нет
