obj1_bin_0,obj1_nom_0,obj1_ord_0,obj1_ord_1,obj1_qnt_0,obj1_qnt_1,obj2_bin_0,obj2_nom_0,obj2_ord_0,obj2_ord_1,obj2_qnt_0,obj2_qnt_1,Collision
1,star,high,high,14.29,8.8,0,hexagon,low,low,25.75,28.39,Да
0,hexagon,low,medium,35.0,95.65,0,hexagon,low,high,28.07,29.31,Нет
0,star,low,high,34.65,79.4,1,triangle,medium,high,7.75,32.68,Да
1,triangle,medium,medium,56.01,13.2,0,circle,medium,high,53.85,64.11,Да
1,hexagon,high,high,46.34,61.49,1,star,low,low,36.59,74.26,Да
1,circle,medium,medium,45.98,61.2,1,hexagon,low,medium,33.97,51.07,Да
0,circle,high,low,55.36,0.06,1,square,high,medium,45.76,61.05,Да
0,square,medium,medium,41.54,42.91,0,circle,high,low,84.97,81.33,Да
1,circle,medium,medium,25.0,71.18,1,star,high,medium,10.52,99.96,Да
1,square,medium,high,66.41,18.68,0,square,high,medium,52.36,45.65,Да
1,circle,low,high,79.06,85.09,0,star,high,low,19.64,93.64,Да
0,hexagon,low,low,47.9,66.03,0,star,medium,high,21.24,49.04,Да
1,triangle,high,high,64.95,0.69,1,circle,high,medium,25.67,78.2,Да
1,square,low,medium,53.54,85.49,0,triangle,high,high,45.94,57.32,Да
0,triangle,medium,high,5.9,1.94,0,square,high,low,49.44,88.4,Нет
1,star,low,high,42.31,88.79,1,hexagon,low,high,87.15,44.87,Нет
1,star,low,medium,0.99,33.37,1,star,high,medium,89.21,69.58,Нет
1,triangle,high,low,66.19,69.87,0,square,medium,high,58.67,46.63,Да
0,hexagon,medium,high,50.82,78.74,1,circle,low,high,28.14,85.7,Да
0,triangle,low,high,12.68,28.13,1,square,low,high,81.84,99.44,Нет
0,triangle,low,medium,54.22,35.64,1,hexagon,high,low,79.29,24.33,Да
0,triangle,high,low,89.84,50.95,0,hexagon,low,low,79.8,47.43,Да
1,square,high,low,34.05,58.27,1,circle,high,low,1.64,8.13,Да
0,square,medium,high,98.24,29.2,0,square,high,low,75.39,14.1,Да
